"gene_name","one_cell.ribo","two_cell.ribo","four_cell.ribo","eight_cell.ribo","one_cell.rna","two_cell.rna","four_cell.rna","eight_cell.rna","WT_one_cell_TE","WT_two_cell_TE","WT_four_cell_TE","WT_eight_cell_TE"
"AH9.3",-0.500388044468522,-0.140781406028727,-0.262338486887502,-0.24800327405319,-2.28876184965109,-2.10505099435834,-1.53021254472198,-1.56879677598237,1.78837380518256,1.96426958832962,1.26787405783448,1.32079350192918
"B0001.2",-0.277244493154312,-0.517230382412221,-0.424098137614147,-0.422941681710335,1.4734752756736,2.0487147380028,1.15897675397757,0.980542802941507,-1.75071976882791,-2.56594512041502,-1.58307489159172,-1.40348448465184
"B0001.3",-1.0343083594692,-0.677693853955319,-0.719424138742453,-0.523565414844904,-0.642422340738822,-0.615153238538985,-0.763816043391012,-0.445484769390032,-0.391886018730378,-0.0625406154163347,0.044391904648559,-0.0780806454548724
"B0001.4",-1.13464370720028,-1.85118527514812,-1.65041683222375,-1.64620184956363,0.11000331688323,0.0593895059387271,-0.108815667550965,0.0759126073287318,-1.2446470240835,-1.91057478108685,-1.54160116467279,-1.72211445689236
"B0001.5",-0.802155555403651,-0.555605661976836,-0.401596855720489,-0.230842935302999,-0.933555835502102,-1.34162945815634,-1.07279242008408,-1.30970208939366,0.131400280098451,0.786023796179506,0.671195564363593,1.07885915409066
"B0001.7",1.8902230204157,1.80922095222829,1.81652941406857,1.81569309464975,0.267022478015128,-0.0478671723248369,0.488017003760765,0.220677212522941,1.62320054240058,1.85708812455312,1.3285124103078,1.59501588212681
"B0001.8",1.13344495005029,1.35562577341852,1.22259585857813,1.05311132295487,0.184035047094885,-0.434442640281062,0.486553544426991,-0.139802413986709,0.94940990295541,1.79006841369959,0.736042314151136,1.19291373694158
"B0019.2",-1.68394985153433,-1.05667181756114,-1.07477055897524,-1.14922051960603,0.051380245638971,0.898841626588008,0.00956163827466675,0.0514276773761745,-1.7353300971733,-1.95551344414915,-1.08433219724991,-1.2006481969822
"B0024.11",0.251650653919615,-0.0620854054713338,0.211864158741215,-0.102100309107026,0.28621191544855,0.485899992998506,0.410594430418017,0.103580777001032,-0.0345612615289349,-0.54798539846984,-0.198730271676802,-0.205681086108058
"B0024.13",-0.470075733560304,-1.17417272487257,-1.48932757812613,-0.946900337270332,-0.521212773104384,-0.0484002498946054,-0.475267043705879,-0.308404830070966,0.0511370395440794,-1.12577247497797,-1.01406053442025,-0.638495507199366
"B0025.4",0.414651122296574,1.07310934700536,0.647357993092071,0.602046650295617,-0.0745108755100683,-0.453012842619064,-0.275648080820424,-0.215435525776371,0.489161997806642,1.52612218962442,0.923006073912494,0.817482176071988
"B0035.3",-1.22580448559725,-1.12465524643205,-2.13689436948758,-2.34999793302734,1.68078339534672,1.84311263298864,1.2973001420121,1.78397559501193,-2.90658788094397,-2.96776787942069,-3.43419451149969,-4.13397352803926
"B0041.5",-1.54010881530844,-0.8275991345926,-1.20247696491674,-0.867837789941503,0.390504809227045,0.301522081514301,0.0617461554646438,0.466002000105004,-1.93061362453548,-1.1291212161069,-1.26422312038138,-1.33383979004651
"B0041.8",-0.687734769189227,0.447149607425915,0.712618927747369,0.934896921067666,1.90382945748779,1.64995216658474,1.6243721294195,1.46314555241344,-2.59156422667702,-1.20280255915882,-0.911753201672128,-0.52824863134577
"B0205.1",1.61142955789646,1.22637160584817,1.25956692065505,1.27198573866396,0.0372925910859305,-0.198577921607363,0.375561977184276,-0.043040827851999,1.57413696681053,1.42494952745553,0.884004943470772,1.31502656651596
"B0205.6",1.06189452822996,0.689791400614926,0.457600902276096,-0.518578370911243,-0.59342983550054,-0.799143985510749,-0.626169710550006,-0.566902574513318,1.6553243637305,1.48893538612568,1.0837706128261,0.0483242036020747
"B0205.8",-0.788070116920303,0.0910235445728594,0.41522291102891,0.398564231881863,0.391319626932348,0.0133207072360362,0.555167571653143,0.390293608923032,-1.17938974385265,0.0777028373368232,-0.139944660624233,0.00827062295883069
"B0205.9",1.16571421061908,1.36685688699102,1.50756527859776,1.2297122416757,0.247341020169633,0.0191779766663954,0.232324511756191,0.0150501168497579,0.918373190449447,1.34767891032463,1.27524076684157,1.21466212482594
"B0207.6",-1.08196344937136,-1.60597796189519,-1.71452421446067,-1.34787087420809,-0.877117711283874,-0.344270972221411,-1.06201858985308,-0.848044050570339,-0.204845738087489,-1.26170698967378,-0.652505624607594,-0.499826823637746
"B0212.3",0.166701135521916,0.297799313438342,0.0527480082602938,0.241024721678794,-1.09640529388664,-0.659687814529392,-1.2956975734916,-1.13813554876615,1.26310642940855,0.957487127967734,1.34844558175189,1.37916027044495
"B0238.11",-0.0360314185321657,0.0292795379022824,0.529465027145102,0.67589930909819,0.247261889473106,0.341100625064604,0.335796022870442,0.591281125881647,-0.283293308005272,-0.311821087162321,0.19366900427466,0.0846181832165432
