,P0,AB,P1,ABa,ABp,EMS,P2,ABal,ABar,ABpl,ABpr,MS,E,C,P3,ABalx,ABarx,ABplx,ABprx,MSx,Ex,Cx,D,P4,1-cell,2-cell,4-cell,8-cell,16-cell
2L52.1,0.642,2.716,2.168,2.934,0.81,0.5,22.378,0.072,0,0,0.21,0,0,0.142,2.268,10.636,6.1475,0,21.29916667,7.740833333,18.845,0,0.125,33.89,0.642,2.442,6.6555,0.345128205,10.235
2L52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.1,0.418,3.976,0.624,4.418,0,1.712,0,0,0,0,0,0.2625,8.626,0,6.386,1.551,0,0,0,1.505,0.262,0,4.538333333,0,0.418,2.3,1.5325,1.951538462,0.704666667
2RSSE.3,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0
2RSSE.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.6,0,0,16.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.363,0,0,0
2RSSE.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3R5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.014666667
4R79.2,0,0,0,0,1.818,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257,0,0,0,0,0,0.4975,0,0.139666667
6R55.2,0,0,0,0,0,0,0,0,0,17,0,0,0,1.228,0,17,4.929166667,35.51272727,45.1925,3.634166667,0,14.41636364,0,0,0,0,0,2.336923077,15.15877778
aagr-1,0.482,0,0,0,0,0,0,0,0,4.714,0.032,3.885,0,0,0.058,0,1.0225,0.058181818,0.146666667,17.66,0,0,0,0,0.482,0,0,1.014358974,2.517666667
aagr-2,0,0,0,0,0,0.402,0,0.576,0,7.102,0,0,0.036,0,0.044,2.588,0.948333333,12.86363636,4.075833333,3.976666667,1.522,3.39,0,0,0,0,0.1005,0.994615385,3.643333333
aagr-3,106.326,160.416,96.24,173.828,162.852,171.814,104.218,117.07,134.478,164.944,66.84,235.165,228.784,198.292,109.826,165.582,159.3175,175.6254545,158.6116667,189.4325,240.826,99.22454545,4.536666667,112.0416667,106.326,128.328,153.178,154.9187179,154.1693333
aagr-4,1.824,1.392,0.16,0,0.036,0,0.03,0,7.968,0,0,0,5.454,0,0.058,0,0.061666667,0,1.918333333,0.216666667,6.664,0,0,0,1.824,0.776,0.0165,1.728205128,1.033333333
aak-1,46.52,52.454,64.226,46.992,58.466,65.926,34.378,9.11,0.484,16.378,1.582,0,0.31,21.632,19.646,0,0.786666667,0,0,0.0425,0,0,0.518333333,84.86166667,46.52,58.34,51.4405,8.864358974,5.802555556
aak-2,54.038,58.376,25.474,72.322,74.876,54.36,44.058,45.77,48.54,43.446,55.844,191.385,167.27,34.174,7.812,49.23,67.41666667,36.01545455,28.08666667,39.2025,29.179,32.5,2.431666667,83.47333333,54.038,41.925,61.404,71.2774359,40.774
aakb-1,16.83,37.93,2.894,10.408,37.776,64.114,26.96,1.984,13.14,8.71,37.912,0,0,0,0.132,11.814,29.78333333,23.17,40.34,17.1525,47.515,17.21727273,35.56166667,0,16.83,20.412,34.8145,7.933076923,25.53588889
aakb-2,0.95,1.878,2.182,4.606,0.23,12.876,0.154,19.128,32.918,0,1.232,0,0,0,0,5.616,15.81583333,17.23090909,8.338333333,0.048333333,0,20.25727273,0,0,0.95,2.03,4.4665,6.830512821,8.432888889
aakg-1,0.904,4.914,3.252,0.398,3.48,4.038,11.494,0.046,0,5.016,2.378,2.7975,0.062,4.988,0.734,0.293,0,0.748181818,0.409166667,0.188333333,0,0.847272727,0,0.783333333,0.904,4.083,4.8525,1.982307692,0.359444444
aakg-2,32.756,37.082,25.792,76.082,46.55,41.706,58.188,38.304,12.184,65.686,51.694,41.7475,20.68,5.282,11.464,30.703,53.02583333,36.72363636,13.27916667,38.73583333,59.71,104.3872727,57.55,69.01333333,32.756,31.437,55.6315,30.60153846,49.73577778
aakg-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504166667,0,0,0,0,0,0,0,0,0,0,0,0.067222222
aakg-4,0,0,0.244,0,0,1.068,0,1.026,0,0.082,0,0,0,19.826,0,0,3.059166667,0,0,0.039166667,0,0.215454545,0,0,0,0.122,0.267,2.683846154,0.439444444
aakg-5,172.326,224.564,165.442,159.392,161.994,136.642,220.482,20.952,95.152,26.358,30.298,34.5775,41.028,80.346,146.924,14.15,13.89083333,49.35909091,30.77833333,1.953333333,0.723,24.74363636,239.46,103.7216667,172.326,195.003,169.6275,60.09230769,39.80466667
aap-1,74.452,117.182,103.184,135.222,114.338,95.404,51.724,215.974,175.99,101.094,98.916,10.3,14.906,123.256,64.852,50.759,49.7475,1.576363636,23.8,20.7075,0.742,1.383636364,60.34666667,21.45166667,74.452,110.183,99.172,102.9779487,24.10466667
aars-1,10.05,3.544,40.598,0,0,4.126,16.556,0,0.042,0,0,0,0.128,0.038,35.66,0.022,0.070833333,17.12727273,0,0.025833333,10,0.708181818,0,0,10.05,22.071,5.1705,4.598461538,3.306333333
aars-2,64.83,106.798,125.086,114.732,103.368,127.506,111.442,118.778,121.09,79.288,104.216,49.435,19.37,106.262,56.79,105.665,114.1366667,95.72272727,104.74,128.4841667,39.611,54.69181818,211.4533333,101.2566667,64.83,115.942,114.262,82.73615385,101.6878889
aat-1,1.644,0,0,0,0,0,0,0.054,0,0,0,2.7225,40,0,0,0,0,0,0,0,0,0,0,0,1.644,0,0,5.414358974,0
aat-2,4.016,12.574,16.612,24.704,3.66,0.394,0.228,0,9.082,0.068,0.11,0,0,59.984,21.822,5.398,0,10.14090909,0,68.7875,0.057,28.93636364,0,2.255,4.016,14.593,7.2465,11.67512821,14.70422222
aat-3,17.298,46.978,25.142,30.518,24.84,35.28,12.136,6.394,10.42,2.57,75.454,0.075,0,6.892,5.718,39.673,10.85666667,9.935454545,11.75,0.09,1.158,0.933636364,55.355,11.495,17.298,36.06,25.6935,13.78307692,13.34811111
aat-4,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0.029166667,0,0,0,0,0,0,0,0.0155,0,0.003888889
aat-5,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0,0,0,0,0.006410256,0.080222222
aat-6,0,0,0,0,0,2.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5135,0,0
aat-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aat-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aat-9,2.66,7.154,4.256,6.004,1.476,5.232,0.138,20.122,2.092,5.962,11.646,0,0.38,9.45,0,35.438,8.868333333,17.15636364,33.63583333,9.119166667,33.718,1.634545455,3.233333333,9.313333333,2.66,5.705,3.2125,6.365641026,17.70022222
abce-1,27.344,29.046,10.566,29.54,56.236,41.82,49.608,55.17,18.592,22.25,33.052,53.3625,23.358,10.218,12.674,89.411,62.49666667,49.67636364,29.70416667,50.26166667,34.305,5.740909091,3.12,31.66333333,27.344,19.806,44.301,27.94923077,41.83333333
abcf-1,137.884,165.244,140.582,237.448,205.376,162.952,169.836,202.082,199.29,248.444,179.224,359.705,158.764,170.548,109.552,184.565,153.2366667,146.7545455,111.6125,85.99416667,87.198,186.2345455,87.63166667,169.6316667,137.884,152.913,193.903,199.4446154,134.8245556
abcf-2,154.21,143.602,166.942,179.53,163.312,125.802,198.614,240.562,201.114,207.918,234.358,424.7225,241.222,184.5,306.894,208.526,228.45,248.3972727,320.0741667,191.6408333,248.032,278.5681818,91.4,60.22666667,154.21,155.272,166.8145,250.8135897,223.9326667
abcf-3,44.948,33.94,36.224,26.366,14.11,16.538,44.244,62.706,100.97,43.648,0.194,31.9825,0,8.378,25.786,64.406,34.4225,58.91727273,14.20166667,23.91166667,17.437,4.607272727,11.60166667,0.303333333,44.948,35.082,25.3145,34.26512821,27.32288889
abch-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abcx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650909091,0,0,0.165,0,0,0,0,0,0,0,0.097888889
abf-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abf-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abf-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abf-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0.054615385,0
abf-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abf-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abi-1,226.698,230.528,279.736,59.786,116.744,174.786,370.574,1.274,2.142,1.596,0.116,85.07,22.676,63.448,300.208,14.429,86.705,9.997272727,16.345,4.446666667,1.386,50.56545455,206.2533333,259.555,226.698,255.132,180.4725,58.91230769,54.54611111
abl-1,45.44,28.934,14.208,42.77,18.474,46.964,17.46,30.722,33.006,31.62,67.734,29.9,49.472,34.048,9.82,19.496,24.36333333,67.92818182,17.97083333,64.09916667,21.149,25.88090909,1.115,34.90666667,45.44,21.571,31.417,35.94128205,32.57422222
abt-1,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0.160833333,0,0,0,0,0,0,0,0,0.004358974,0.021444444
abt-2,0,0,0,0,0.016,0,0,0.054,0,0,0,0,0,0.94,0,1.157,2.113333333,0.204545455,1.0425,23.0725,0.449,0.079090909,0,0.016666667,0,0,0.004,0.127435897,3.711333333
abt-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abt-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.374,0,0,0,0,0,0,0.040909091,0.013333333,0,0,0,0,0.304358974,0.005888889
abt-5,0,0,0,0.332,0,0,0,0,0,0.024,0,0.2175,0,0,0,7.05,2.676666667,12.33090909,0.0275,0.218333333,0.078,4.769090909,0,0,0,0,0.083,0.025384615,3.271666667
abt-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abtm-1,39.836,25.154,35.696,35.98,17.614,26,18.144,6.018,15.95,0.462,1.128,1.45,3.73,22.636,46.4,5.129,7.098333333,1.135454545,5.651666667,25.7975,16.325,8.27,9.44,44.56,39.836,30.425,24.4345,12.49794872,12.273
abts-1,84.534,91.594,80.944,102.122,77.898,96.276,54.742,128.334,153.766,193.824,77.17,82.085,116.228,88.57,61.338,120.334,134.88,134.1827273,90.1675,99.75083333,147.376,76.18909091,5.873333333,77.16833333,84.534,86.269,82.7595,113.4484615,104.3002222
abts-2,0.85,0,0.032,0.312,0.676,0.174,0.548,0.544,0.644,0.782,0.896,3.8925,0.054,0.334,0.1,0.076,0.1325,0.814545455,0.423333333,1.048333333,0.788,0.222727273,0.091666667,0,0.85,0.016,0.4275,0.829230769,0.442777778
abts-3,0,2.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761666667,0,2.759166667,0,0,0,0,0,0,1.336,0,0,0.469444444
abts-4,16.484,10.564,2.436,3.514,0,2.4,0.398,0,0,11.824,0,0.3175,30.276,44.03,0,25.447,3.903333333,0.088181818,8.009166667,8.3675,0.357,40.84181818,0.193333333,2.586666667,16.484,6.5,1.578,11.07487179,10.759
abu-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-11,0,0,0,0,0,0,0,0,0,0,1.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181794872,0
abu-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0,0,0,0,0,0,0,0,0,0,0,0.005666667
abu-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167,0,0,0,0,0,0,0,0.129666667
AC3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC3.5,0,0,0,0,0,0,0,0.544,0,0,0,0,0,0,0,0,0,0,0.051666667,0,0,0,0,0,0,0,0,0.06974359,0.006888889
AC3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.028333333,0,0.192,0,0,0,0,0,0,0,0.028333333
AC7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC8.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709090909,0,0,0,0,0,0,0.086666667
AC8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC8.5,0,0,0,0,0,0,0,0,0,0.604,0,0,0,0,0,0,0.2475,0,14.18083333,0,0,0.982727273,0.381666667,0,0,0,0,0.077435897,2.069333333
AC8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.637,0,0,0,0,0,0,0,0,0,0,0,0,0.404111111
AC8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acbp-1,119.106,56.734,99.636,95.628,137.666,91.656,107.716,134.068,230.694,143.112,209.524,227.8525,143.29,183.654,463.66,99.248,200.5433333,177.5081818,257.0666667,409.6658333,218.19,125.9472727,951.52,93.11,119.106,78.185,108.1665,216.7030769,257.6386667
acbp-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.014444444
acbp-4,0.606,0.172,1.578,0,0,0,28.324,0.416,0,0,0,0,0,0,0,36.253,0.185833333,0,0,0,0,0,3.06,0,0.606,0.875,7.081,0.053333333,4.256888889
acbp-5,93.946,80.892,84.732,85.1,89.622,69.502,77.566,14.802,79.672,80.364,21.338,64.5875,95.326,41.876,216.944,0.694,6.346666667,1.975454545,5.219166667,2.771666667,33.673,4.181818182,154.3716667,149.7016667,93.946,82.812,80.4475,77.17846154,26.75433333
acbp-6,0,0,0,0,0.474,0,0,0,0.836,0,0,0,0,0,0,0.601,0,0.517272727,12.2625,0,0,0,0,0,0,0,0.1185,0.107179487,1.765
acbp-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acc-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acc-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.032
acc-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acc-4,0,0,0,0.232,3.592,0.062,5.752,0,1.77,5.02,32.23,0.18,0,0.094,0,6.282,3.936666667,0.162727273,8.843333333,0.91,0,0,0.13,0,0,0,2.4095,5.033076923,2.551888889
acd-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acdh-1,0,0,0,53.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039090909,38.0425,0,0,0,0,0.105,0,0,13.367,0,5.084111111
acdh-10,51.992,88.684,143.508,125.726,109.044,112.162,75.91,223.526,136.248,97.626,163.702,160.1,238.664,120.08,53.864,125.02,165.5091667,132.0527273,120.7616667,207.4166667,92.156,319.4263636,18.82833333,97.485,51.992,116.096,105.7105,148.9474359,152.8906667
acdh-11,49.72,36.14,38.038,48.676,70.936,37.786,22.42,70.242,104.366,79.142,108.34,265.5175,58.524,66.976,87.476,101.026,77.71333333,83.72454545,101.5491667,21.8275,87.425,45.97454545,94.92,56.79166667,49.72,37.089,44.9545,100.9589744,73.71722222
acdh-12,89.402,137.652,107.286,157.378,139.166,176.134,127.208,205.732,262.432,164.302,208.404,122.815,53.718,191.038,39.462,99.219,115.98,83.61181818,57.675,4.74,97.162,42.81272727,5.883333333,38.04833333,89.402,122.469,149.9715,156.8384615,63.98677778
acdh-13,55.514,18.716,70.47,0,0,3.336,66.994,37.946,0.06,0.054,0,0.07,51.706,52.732,1.84,0,2.230833333,0,0.1275,0.0275,37.213,24.48272727,5.611666667,4.115,55.514,44.593,17.5825,18.51205128,8.093666667
acdh-2,1.954,0,0,2.198,0,0,0,0,0,0,0,39.645,0,0,0,0,0,0,0,0,0,1.21,0,0,1.954,0,0.5495,4.066153846,0.147888889
acdh-3,132.44,209.378,180.884,259.004,241.408,283.782,120.236,324.042,281.086,271.436,377.762,286.655,287.584,204.158,115.398,309.058,324.8125,318.7836364,240.1858333,97.25583333,91.839,160.4690909,53.50833333,217.8033333,132.44,195.131,226.1075,268.05,209.5074444
acdh-4,0,0,0.794,0.588,0,7.91,0,0,0,0,0.078,0.1975,0,0,0,0,0,0.148181818,0,0.625833333,0.062,0,0,0,0,0.397,2.1245,0.03025641,0.108444444
acdh-5,0,0,0,0,0,0,0,0,0,0,0,0,10.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.291282051,0
acdh-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acdh-7,31.456,73.246,73.688,85.69,176.512,102.984,82.706,106.708,135.904,114.556,53.678,151.84,93.18,128.004,86.756,162.99,134.0408333,120.5627273,74.30583333,118.7191667,88.179,153.3627273,5.821666667,85.00333333,31.456,73.467,111.973,107.7253846,111.0512222
acdh-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.710833333,0,0,0,21.138,0,0,0,0,0,0,0,3.243444444
acdh-9,24.584,14.674,42.986,13.628,14.732,12.154,8.178,3.39,3.2,15.824,11.462,0,16.84,8.998,26.912,10.254,5.908333333,0.042727273,8.981666667,19.1825,1.02,8.749090909,0.206666667,0.163333333,24.584,28.83,12.173,11.10589744,6.894888889
ace-1,7.604,0,0,0,0,0.41,0,0,6.084,0,0,0,0,1.022,0,0.749,0,0.119090909,0.045,0,0,0,0.23,0,7.604,0,0.1025,0.911025641,0.119111111
ace-2,0,0,0,0,0,0,0,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046666667,0
ace-3,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,1.031,0,0,0.586666667,0.52,0,0,0,0,0,0,0,0.004615385,0.262111111
ace-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,1.823333333,0.17,0,0,0,0,0,0,0,0,0,0,0.274666667
acin-1,70.07,79.82,119.35,144.118,152.304,131.534,59.552,125.722,170.194,155.834,190.246,155.0175,117.596,136.718,65.324,156.222,152.9441667,106.6754545,180.7541667,206.8833333,134.129,127.4354545,27.255,97.62166667,70.07,99.585,121.877,139.185641,141.2774444
acl-1,33.698,10.1,31.43,10.092,0.1,5.98,12.286,0,17.044,0.118,6.274,3.765,88.636,0,177.944,6.867,17.14833333,1.760909091,9.335833333,0,0,0.301818182,57.475,0,33.698,20.765,7.1145,37.56769231,8.378
acl-11,82.022,34.798,49.542,37.742,41.126,12.35,36.446,58.392,3.762,11.258,51.662,0.09,7.766,32.334,46.02,0.353,0.225833333,0,0,6.2875,0,0,0,50.72,82.022,42.17,31.916,27.08538462,4.289
acl-12,13.524,22.798,9.236,9.056,0.08,0,0,0.208,0,16.04,4.764,0,0,4.148,0,0.588,0,0,0,0.136666667,0,0,0,0,13.524,16.017,2.284,3.225641026,0.083555556
acl-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acl-14,156.704,150.82,151.43,69.316,115.908,123.18,209.576,63.71,36.222,38.658,38.442,162.325,29.066,67.938,124.464,0.556,14.2525,29.05272727,67.33,5.925833333,24.011,55.50090909,51.33166667,141.9266667,156.704,151.125,129.495,67.73846154,37.61566667
acl-2,164.658,48.308,150.146,0,9.054,0,188.76,0.092,0,0,0,0.455,0,1.582,98.106,0,0,0,0,0,0,0,83.87,48.67666667,164.658,99.227,49.4535,12.83897436,8.836444444
acl-3,217.404,147.446,132.144,77.032,91.224,53.36,214.894,20.802,13.566,8.212,0.82,0.89,137.78,99.18,157.678,6.689,0,0,1.614166667,0,0,0,3.296666667,23.28,217.404,139.795,109.1275,56.25,2.730222222
acl-4,80.414,84.936,129.254,92.45,84.848,76.3,147.274,46.594,20.058,62.778,3.838,48.455,12.944,114.14,91.742,25.578,0.386666667,0.15,29.06166667,3.024166667,5.498,12.93636364,11.54833333,39.79166667,80.414,107.095,100.218,50.11,12.80466667
acl-5,34.258,29.414,49.278,31.754,39.388,48.872,74.114,22.27,57.45,21.578,11.676,0.23,96.486,62.152,40.13,25.148,29.44333333,54.72545455,21.90333333,37.23083333,85.918,112.7263636,0.426666667,130.16,34.258,39.346,48.532,39.99051282,53.32311111
acl-6,149.664,137.244,166.75,88.39,93.266,121.604,145.942,19.986,9.028,4.466,0.042,241.2225,32.42,82.88,195.262,0,0.306666667,0,0,0.025,0.125,6.211818182,36.26666667,95.58666667,149.664,151.997,112.3005,68.85410256,9.607555556
acl-7,3.318,0,0,0,0,4.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.318,0,1.003,0,0
acl-8,3.982,4.384,4.124,0.57,3.22,5.386,2.868,0.076,0,0.196,0,0.33,0.12,0.526,10.414,0,0,0,0,0.529166667,0,0.163636364,1.426666667,5.948333333,3.982,4.254,3.011,1.486666667,0.582222222
acl-9,289.86,238.278,216.512,247.08,226.196,221.03,301.244,200.842,117.368,142.166,140.226,239.8425,219.698,339.958,150.322,19.661,6.7725,61.37727273,25.29,65.59333333,22.008,172.9427273,277.0216667,354.0666667,289.86,227.395,248.8875,192.6223077,88.36233333
acn-1,0,2.012,0.124,0.39,0,0,0,1.81,0,0,0,0,0,0,0,0.983,4.424166667,0.1,0,0,0,0,0,0,0,1.068,0.0975,0.232051282,0.711333333
aco-1,36.742,44.832,29.032,75.632,54.716,57.764,29.67,45.916,89.638,61.764,57.014,100.18,42.186,49.62,28.644,78.384,34.70083333,78.04,89.78,53.53583333,52.262,24.93363636,17.94,7.563333333,36.742,36.932,54.4455,58.32384615,52.53766667
aco-2,63.01,76.964,97.16,45.646,24.314,58.386,84.126,22.734,57.482,66.672,6.944,13.1875,19.168,77.218,38.822,34.654,5.006666667,23.37,72.50666667,23.07166667,23.4,13.35090909,43.515,18.45166667,63.01,87.062,53.118,38.40897436,28.481
acox-1,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0.0515,0,0.502222222
acp-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acp-2,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0.282,0.347,0.186666667,0.084545455,0,0.195,878.644,0.140909091,1.496666667,0.746666667,0,0,0,0.068974359,97.89366667
acp-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acp-4,0,0,0,0,0,0.332,0,0,0,0,0,0,3.162,0,0,0.055,0,0.506363636,0,0,0,0,0,0,0,0,0.083,0.405384615,0.068
acp-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125833333,0,0.056666667,0.091666667,236.121,0.574545455,0,0.051666667,0,0,0,0,26.34588889
acp-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.267,0,0,0,0,0,0,0,8.029666667
acp-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acr-10,0,0,4.616,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.308,0,0.006410256,0
acr-11,2.368,1.366,8.79,0,0.95,0,0,0,0,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.368,5.078,0.2375,0.094102564,0
acr-12,0,0,0.35,0,0,0,0,0,0,0,0,0,0,13.77,0,0,1.515833333,0,0.3125,0,0,0,0,0,0,0.175,0,1.765384615,0.243777778
acr-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acr-15,0,0,0,0,0.668,0,0,0,0,0,0.058,0,0,1.722,0,1.331,0.105,0.072727273,0,0,0,0.025454545,0,0,0,0,0.167,0.228205128,0.173888889
