,P0,AB,P1,ABa,ABp,EMS,P2,ABal,ABar,ABpl,ABpr,MS,E,C,P3,ABalx,ABarx,ABplx,ABprx,MSx,Ex,Cx,D,P4,1-cell,2-cell,4-cell,8-cell,16-cell
nhx-5,23.954,13.704,8.404,8.084,20.708,9.484,2.92,4.088,25.178,17.32,3.922,1.95,13.772,2.056,6.684,9.422,14.77083333,0.533636364,0.586666667,0.15,0,1.027272727,0,17.345,23.954,11.054,10.299,9.561538462,4.461666667
nhx-6,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0.007179487,0.011222222
nhx-8,0.786,0.028,0.15,0.036,0.508,0,0.066,0.044,0,0.662,0.516,0,0.274,0.536,0.098,0,0.1175,0.278181818,0,0,0.254,0,5.31,0,0.786,0.089,0.1525,0.273076923,0.431888889
nhx-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0.008777778
nid-1,0,0,0,0,0,0,0,0,0,0,0,13.675,0.034,6.052,0,0,7.575833333,0.060909091,0.249166667,19.95666667,0.3,0.160909091,0.095,0,0,0,0,2.182820513,3.771
nipa-1,75.202,48.408,33.884,37.402,46.826,41.17,74.174,6.754,31.986,16.77,10.956,31.1925,35.642,62.546,60.768,23.857,9.221666667,15.78272727,22.00916667,31.0925,9.428,26.31,6.705,36.77333333,75.202,41.146,49.893,32.09948718,20.05133333
nipi-3,44.164,38.674,39.302,47.314,47.384,30.428,30.8,75.202,51.728,55.668,28.76,20.9575,39.506,25.512,34.218,25.876,11.8875,22.95636364,12.11666667,4.296666667,88.605,10.84,10.38166667,29.32333333,44.164,38.988,38.9815,41.96923077,23.27122222
nipi-4,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0
nit-1,0.052,0,0,13.648,0,9.17,0,0,0,0,0,0,0.298,52.18,0,0.349,0.058333333,0.052727273,0.0575,24.32,276.565,0,0.308333333,0.216666667,0.052,0,5.7045,6.727948718,34.06777778
nkat-1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.206,0,0,0,0,0,0,0,0,0,0,0,0,0,1.821282051,0
nkat-3,71.602,77.35,67.386,57.552,85.91,36.578,46.812,135.122,46.77,58.458,77.196,27.005,51.882,123.674,23.888,13.759,49.19083333,12.92545455,37.41666667,0.331666667,65.303,19.31636364,0.351666667,19.42166667,71.602,72.368,56.713,69.05051282,25.63544444
nkb-1,41.81,9.48,52.442,9.066,0.524,7.212,20.794,1.43,7.414,1.372,33.554,1.76,0.072,4.586,10.158,3.715,0.733333333,30.83909091,3.6875,0.043333333,11.654,2.983636364,1.301666667,3.256666667,41.81,30.961,9.399,7.691538462,6.740666667
nkb-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkb-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkcc-1,20.362,26.814,38.446,25.718,18.944,26.034,42.904,1.214,11.798,0.894,0.03,2.86,0.126,3.554,37.272,2.584,0.768333333,23.95727273,5.658333333,5.6675,5.64,0.397272727,4.816666667,43.285,20.362,32.63,28.4,7.33025641,8.709777778
nlg-1,0.98,0.056,0.032,0.11,6.184,1.748,0,0.03,0.042,0.66,0,0.065,2.472,0,0,0.89,3.958333333,2.115454545,0.9375,0.051666667,0.269,2.060909091,0,0,0.98,0.044,2.0105,0.417435897,1.298888889
nlp-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-10,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0,0,0,0
nlp-11,0,0.24,0,1.618,0.738,6.088,0,0,0,0,24.458,11.895,41.96,0,0,6.735,0.359166667,0,0.078333333,62.98166667,0,80.92363636,0,0.18,0,0.12,2.111,9.735128205,19.10688889
nlp-12,0,0,0,0,0,1.378,0,0,0,0,14.866,0,0,0,0,3.038,0,0.119090909,0,0,0.704,241.8190909,0.333333333,0,0,0,0.3445,1.905897436,30.00822222
nlp-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-14,0,0,0,0,0,0,0,1.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162564103,0
nlp-15,0.722,0,0,0,0,0,0,0,0.13,0,0,2.4325,0,0,0,0,13.64333333,4.86,29.5125,0.5825,1.293,0,0,0,0.722,0,0,0.266153846,6.569444444
nlp-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-17,0,0,0,0,0,0,0,0,0.398,0,3.624,4.34,24.796,0,0,0,0.825,0,2.015,0,72.926,0,0,0,0,0,0,4.13974359,8.481555556
nlp-18,0.112,0.14,0,0,0,0,0,0,0,0,0.966,43.4775,0,0,0,0,0,1.370909091,0,0,0,0,0,0,0.112,0.07,0,4.583076923,0.167555556
nlp-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.712,0,1.5,0,0,0,0,0,3.956888889
nlp-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-20,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0
nlp-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103333333,0,0,0,0,0,0,0,0,0,0,0,0.013777778
nlp-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-24,7.15,0.54,0,1.586,0,0,0,0.204,0.592,5.98,0,0,0,0.54,194.976,0,0,0,5.270833333,0,0,0,0,0,7.15,0.27,0.3965,25.93487179,0.702777778
nlp-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.108181818,0,0,14.725,0,0,0,0,0,0,0,2.138222222
nlp-26,0,0,0,0,0,0,0,0,0,0,0,0.83,0.348,0,0,0,0,0,0,0,0,0,0,4.411666667,0,0,0,0.12974359,0.294111111
nlp-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057272727,0,0,0,0,0,0,0,0,0,0,0.007
nlp-31,0,0,0,0,0,0,0,0,0.376,0,7.994,0,0,0,0,1.765,0.481666667,0.151818182,0.336666667,0.839166667,1221.945,1.172727273,1.54,1.003333333,0,0,0,1.073076923,136.5202222
nlp-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-33,0,0,0,0,0,0,0,0,0,0,0,0,5.956,0,0,0,0,0,0,0,13.922,42.20181818,0,0,0,0,0,0.763589744,6.704888889
